OBJECTID,ID,Name,LastUpdated,Area,Length
1,195083,Holnicote Estate Exmoor,12/20/2016 3:39:18 PM,26627692.8817711,37751.2890026345
2,42436,Hentor & Willings Wall Warren,12/20/2016 3:39:18 PM,11754168.7083807,16391.4772550491
3,41879,Holnicote Estate Exmoor,12/20/2016 3:39:18 PM,6043518.8980751,22684.361125264
4,216396,Winsford Hill,12/20/2016 3:39:18 PM,5631333.15957642,16987.756644461
5,155632,Studland,12/20/2016 3:39:18 PM,4756170.44210815,23812.700254896
6,200387,Lundy,12/20/2016 3:39:18 PM,3465761.75834846,22888.374502988
7,155625,Studland,12/20/2016 3:39:18 PM,2535513.83992577,15918.1844129617
8,195091,Countisbury Hill,12/20/2016 3:39:18 PM,2473239.26964188,21171.012022036
9,195089,Watersmeet,12/20/2016 3:39:18 PM,2450371.67346573,25551.7042398004
10,40870,Beacon Hill & Bicknoller Hill,12/20/2016 3:39:18 PM,2507534.69976044,8402.6572120022
11,200285,Crook Peak,12/20/2016 3:39:18 PM,2718779.59778595,14755.107465139
12,165327,Zennor Sites,12/20/2016 3:39:18 PM,2329383.3684659,12860.8655987308
13,42469,Castle Drogo Grounds,12/20/2016 3:39:18 PM,2329110.46920013,11677.7130530589
14,165246,Predannack and Kynance,12/20/2016 3:39:18 PM,248511.389097691,6067.27675838873
15,42432,Trowlesworthy Warren,12/20/2016 3:39:18 PM,1875310.41996574,7237.40699007497
16,41688,Heddon's Valley/Mouth Trentishoe Down,12/20/2016 3:39:18 PM,1737082.44292068,9590.24559021128
17,42273,Killerton Estate Ashclyst Forest,12/20/2016 3:39:18 PM,1657292.6647892,8801.8107872154
18,45144,Bolt Head to Bolt Tail (Salcombe),12/20/2016 3:39:18 PM,1587488.23983288,14645.7037082183
19,195307,Heddon's Mouth East Cleave Highveer,12/20/2016 3:39:18 PM,1413513.29886246,12122.6721716779
20,297657,Zennor Sites,12/20/2016 3:39:18 PM,981611.175579548,13513.4680654822
21,165224,Chapel Porth,12/20/2016 3:39:18 PM,1300500.33734655,10430.8684451
22,296269,Lanhydrock,12/20/2016 3:39:18 PM,1261889.94816589,12141.204740272
23,155623,Studland,12/20/2016 3:39:18 PM,1636309.78752327,17903.9794699897
24,40600,Fontmell Down & Fontwell Magna,12/20/2016 3:39:18 PM,1015289.32014465,8421.65797354997
25,165231,Carvannel,12/20/2016 3:39:18 PM,1112166.90097332,19300.1252396636
26,41686,Grit Farm/Down or The Great Hangman,12/20/2016 3:39:18 PM,1050937.98014069,5718.46125524843
27,42419,Goodameavy,12/20/2016 3:39:18 PM,1095184.63537025,10882.7593688137
28,177369,The Kelseys,12/20/2016 3:39:18 PM,967803.53329277,14382.1847040377
29,40655,Badbury Rings,12/20/2016 3:39:18 PM,493628.119968414,2955.83799173526
30,40065,Dolebury Warren,12/20/2016 3:39:18 PM,917949.220436096,6132.62925681468
31,41219,Woolacombe Warren Morte Bay,12/20/2016 3:39:18 PM,879476.512737274,5093.33223176911
32,40790,Great & Marrow Hills (Triscombe),12/20/2016 3:39:18 PM,868075.929382324,4711.89559825937
33,45159,Bolt Head to Bolt Tail (Salcombe),12/20/2016 3:39:18 PM,856207.482661247,13161.3896869875
34,126215,Lundy Bay,12/20/2016 3:39:18 PM,848224.056326866,18817.0162570485
35,171742,Stourhead,12/20/2016 3:39:18 PM,826060.698986053,6617.3155731354
36,40073,Cheddar Cliffs,12/20/2016 3:39:18 PM,606441.881942749,5282.46155116262
37,44468,Hembury Woods,12/20/2016 3:39:18 PM,805915.22552681,4227.53222678419
38,45141,Portlemouth Down,12/20/2016 3:39:18 PM,798667.329687119,12690.6245099411
39,194752,Killerton Estate Killerton Park & Gdns,12/20/2016 3:39:18 PM,734842.834854126,4972.27862616882
40,41212,Morte Point Morte Bay,12/20/2016 3:39:18 PM,702552.581825256,6669.41030865406
41,200305,Brean Down,12/20/2016 3:39:18 PM,663887.248336792,5786.51791906403
42,43261,Rough Tor,12/20/2016 3:39:18 PM,658470.373418808,3201.42787219788
43,165373,Levant Mine and Beam Engine,12/20/2016 3:39:18 PM,655628.020824909,15028.5964378286
44,42401,The Warren Noss Mayo,12/20/2016 3:39:18 PM,659466.014048576,7673.62580004201
45,155646,Corfe Castle,12/20/2016 3:39:18 PM,632804.056554794,4447.43480746651
46,207864,The Dodman and St Austell Bay,12/20/2016 3:39:18 PM,619763.191586494,5941.15345057145
47,40599,Melbury Beacon & Melbury Hill,12/20/2016 3:39:18 PM,806038.736942291,7349.97833643956
48,41112,Damage Cliffs,12/20/2016 3:39:18 PM,613523.153411865,8180.98637905147
49,165285,Treveal Point,12/20/2016 3:39:18 PM,600934.196156025,6820.66493699758
50,44642,Holne Woods,12/20/2016 3:39:18 PM,585746.250417709,7904.25296076715
51,155634,Studland,12/20/2016 3:39:18 PM,584494.452131271,4689.92491516627
