id,name,town,county,lat,long,description,website,category,sensitivity
375,Wimpole Estate,Royston,Cambridgeshire,52.1400038,-0.0488461,"A living working estate, guided by the seasons with an impressive mansion, parkland, gardens and rare breed farm.",https://www.nationaltrust.org.uk/visit/cambridgeshire/wimpole-estate,Historic houses/mansions,3
163,Hatfield Forest,Bishop's Stortford,Essex,51.8592,0.2363,Ancient royal hunting forest,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/hatfield-forest,Forests/Woodlands,5
294,Shaw's Corner,near Welwyn,Hertfordshire,51.836215,-0.26844,Country home of playwright Bernard Shaw for 44 years,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/shaws-corner,Historic houses/mansions,3
373,Willington Dovecote and Stables,near Bedford,Bedfordshire,52.137501,-0.3808,Outstanding 16th-century stone dovecote and stable building,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/willington-dovecote-and-stables,Historic houses/mansions,3
9,"Anglesey Abbey, Gardens and Lode Mill",Cambridge,Cambridgeshire,52.235915,0.2448,Jacobean-style house with gardens and watermill,https://www.nationaltrust.org.uk/visit/cambridgeshire/anglesey-abbey-gardens-and-lode-mill,Mills,3
6212,Moleskin and Markham Hills,near Streatley,Bedfordshire,51.94473,-0.44615,"Wildlife-rich chalk grassland, beech woodland and meadows managed as a nature reserve.",https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/moleskin-and-markham-hills,Forests/Woodlands,5
5306,Sharpenhoe and Sundon Hills,Streatley,Bedfordshire,51.95354,-0.450765,Ancient woodland and chalk escarpment with fantastic views,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/sharpenhoe,Forests/Woodlands,5
6193,Morven Park,Potters Bar,Hertfordshire,51.700131,-0.174226,20 acres of peaceful parkland located in the heart of Potters Bar,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/morven-park,Parks and open spaces,3
177,Houghton Mill and Waterclose Meadows,near Huntingdon,Cambridgeshire,52.3311,-0.1204,Impressive working 18th-century watermill and campsite,https://www.nationaltrust.org.uk/visit/cambridgeshire/houghton-mill-and-waterclose-meadows,Mills,3
118,Dunstable Downs and Whipsnade Estate,Dunstable,Bedfordshire,51.865538,-0.537432,Spectacular views of rolling chalk grasslands and a seemingly endless sky in an Area of Outstanding Natural Beauty,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/dunstable-downs-and-whipsnade-estate,Historic houses/mansions,3
